"","object_id","global_id","transect_meter_mark","direction_to_group","distance_to_group","number_seedlings_in_group","number_vegetative_in_group","number_reproductive_in_group","site_name","dist_between_transects","event_date","recorded_by","transect_number","transect_orientation","parent_global_id","creation_date","creator","edit_date","editor","x","y","Transect Length"
"71","92","cf1d2848-bbe1-47d6-84be-11782185af92",-44.5,"+",0.04,NA,1,NA,"3",10,1714586400000,NA,"4","EW","f7e2ec6e-3487-4943-903c-d2caacc08a4e","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-44.5,0.04,50
"72","93","5172602b-fafb-4de0-958e-4f6ad39e7af4",-44.7,"-",-0.31,NA,1,2,"3",10,1714586400000,NA,"4","EW","f7e2ec6e-3487-4943-903c-d2caacc08a4e","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-44.7,-0.31,50
"73","94","9538ca08-2c15-4f15-9494-3252167bcc7e",-44.65,"-",-0.52,NA,NA,1,"3",10,1714586400000,NA,"4","EW","f7e2ec6e-3487-4943-903c-d2caacc08a4e","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-44.65,-0.52,50
"74","95","611f176b-045f-4c97-bfaf-b5df3f18adad",-44.1,"-",-2.48,NA,NA,1,"3",10,1714586400000,NA,"4","EW","f7e2ec6e-3487-4943-903c-d2caacc08a4e","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-44.1,-2.48,50
"75","96","9130421c-85c2-453d-9bcc-a5a72484600e",-45.5,"-",-1.42,NA,NA,1,"3",10,1714586400000,NA,"4","EW","f7e2ec6e-3487-4943-903c-d2caacc08a4e","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-45.5,-1.42,50
"76","97","580ddd8f-46d1-441b-811e-15aaad633e90",-47.96,NA,0.6,NA,1,NA,"3",10,1714586400000,NA,"4","EW","f7e2ec6e-3487-4943-903c-d2caacc08a4e","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-47.96,0.6,50
"77","98","f8a81de9-64ba-4f42-8a4b-3cb7a0a6fb34",-48.15,"+",1.6,NA,NA,1,"3",10,1714586400000,NA,"4","EW","f7e2ec6e-3487-4943-903c-d2caacc08a4e","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-48.15,1.6,50
"78","99","154ab432-d651-48d1-a619-af66cfe7685b",-22.02,"-",-2.17,NA,1,1,"1",10,1714586400000,NA,"1","EW","72d8a244-bd42-4b83-b946-7f9e19d9f3c7","5/2/2024 2:01:00 AM","MichelleDPL","5/2/2024 2:01:00 AM","MichelleDPL",-22.02,-2.17,NA
"79","100","10bcb683-439b-469c-9d6c-ec4ef2ef4baf",-21.1,"-",-1.3,NA,1,NA,"1",10,1714586400000,NA,"1","EW","72d8a244-bd42-4b83-b946-7f9e19d9f3c7","5/2/2024 2:01:00 AM","MichelleDPL","5/2/2024 2:01:00 AM","MichelleDPL",-21.1,-1.3,NA
"80","101","e9f3c973-7a73-4837-a093-0d65735e71ed",-21.04,"-",-0.28,NA,NA,1,"1",10,1714586400000,NA,"1","EW","72d8a244-bd42-4b83-b946-7f9e19d9f3c7","5/2/2024 2:01:00 AM","MichelleDPL","5/2/2024 2:01:00 AM","MichelleDPL",-21.04,-0.28,NA
"81","102","09697dc4-593d-4060-ad5c-0e94ba8cc0c0",-20.45,"-",-0.45,NA,NA,1,"1",10,1714586400000,NA,"1","EW","72d8a244-bd42-4b83-b946-7f9e19d9f3c7","5/2/2024 2:01:00 AM","MichelleDPL","5/2/2024 2:01:00 AM","MichelleDPL",-20.45,-0.45,NA
"82","103","6c180c6f-7c72-4b88-a3db-c6ab50148e27",4.1,"-",-0.4,0,1,1,"3",10,1714586400000,NA,"3","NS","862e99e6-6056-46ce-aeb7-9f166db91a6d","5/2/2024 2:01:03 AM","MichelleDPL","5/2/2024 2:01:03 AM","MichelleDPL",-0.4,4.1,50
